ï..number,username,age,done,start,psu,survey,form.Demographiques_introduction.region,form.Demographiques_introduction.region_no,form.Demographiques_introduction.region_exno
361,aabdouraman,20,8/10/2016 10:59,8/10/2016 10:36,1,1,exno,---,Maroua
842,aabdouraman,16,8/10/2016 11:32,8/10/2016 11:18,1,2,exno,---,Maroua
843,aabdouraman,18,8/10/2016 12:30,8/10/2016 12:12,1,3,exno,---,Maroua
890,aabdouraman,19,8/11/2016 8:19,8/11/2016 7:57,1,4,exno,---,Maroua
149,aabdouraman,27,8/11/2016 8:53,8/11/2016 8:31,1,5,exno,---,Maroua
805,aabdouraman,17,8/11/2016 9:09,8/11/2016 9:00,1,6,exno,---,Maroua
394,aabdouraman,35,8/11/2016 9:29,8/11/2016 9:23,1,7,exno,---,Maroua
63,aabdouraman,30,8/11/2016 10:06,8/11/2016 9:48,1,8,exno,---,Maroua
1218,aabdouraman,17,8/11/2016 10:43,8/11/2016 10:29,1,9,exno,---,Maroua
1116,aabdouraman,20,8/11/2016 11:28,8/11/2016 11:16,1,10,exno,---,Maroua
891,aabdouraman,39,8/11/2016 11:39,8/11/2016 11:28,1,11,exno,---,Maroua
806,aabdouraman,40,8/11/2016 15:40,8/11/2016 15:24,1,12,exno,---,Maroua
1185,aabdouraman,45,8/11/2016 15:58,8/11/2016 15:51,1,13,exno,---,Maroua
327,aabdouraman,27,8/12/2016 7:18,8/12/2016 7:08,1,14,exno,---,Maroua
515,aabdouraman,60,8/12/2016 7:43,8/12/2016 7:28,1,15,exno,---,Maroua
1046,aabdouraman,20,8/18/2016 10:06,8/18/2016 9:54,2,1,exno,---,Mokolo
427,aabdouraman,26,8/18/2016 10:37,8/18/2016 10:21,2,2,exno,---,Mokolo
428,aabdouraman,23,8/18/2016 11:01,8/18/2016 10:45,2,3,exno,---,Mokolo
166,aabdouraman,21,8/18/2016 11:27,8/18/2016 11:06,2,4,exno,---,Mokolo
78,aabdouraman,21,8/18/2016 11:47,8/18/2016 11:38,2,5,exno,---,Mokolo
1193,aabdouraman,25,8/18/2016 12:25,8/18/2016 12:01,2,6,exno,---,Mokolo
1047,aabdouraman,27,8/18/2016 12:50,8/18/2016 12:34,2,7,exno,---,Mokolo
167,aabdouraman,18,8/18/2016 13:13,8/18/2016 12:56,2,8,exno,---,Mokolo
79,aabdouraman,28,8/18/2016 15:02,8/18/2016 14:29,2,9,exno,---,Mokolo
269,aabdouraman,19,8/18/2016 15:33,8/18/2016 15:23,2,10,exno,---,Mokolo
344,aabdouraman,47,8/18/2016 16:16,8/18/2016 15:40,2,11,exno,---,Mokolo
1048,aabdouraman,67,8/19/2016 6:02,8/19/2016 5:31,2,12,exno,---,Mokolo
589,aabdouraman,30,8/19/2016 6:32,8/19/2016 6:22,2,13,exno,---,Mokolo
345,aabdouraman,48,8/19/2016 6:53,8/19/2016 6:42,2,14,exno,---,Mokolo
155,aabdouraman,17,8/19/2016 7:14,8/19/2016 7:11,2,15,exno,---,Mokolo
1083,aabdouraman,29,8/30/2016 10:28,8/30/2016 9:32,3,1,exno,---,Maga
1266,aabdouraman,32,8/30/2016 11:40,8/30/2016 10:49,3,2,exno,---,Maga
572,aabdouraman,64,8/30/2016 13:17,8/30/2016 12:41,3,3,exno,---,Maga
832,aabdouraman,25,8/30/2016 14:21,8/30/2016 13:23,3,4,exno,---,Maga
338,aabdouraman,25,8/30/2016 14:57,8/30/2016 14:30,3,5,exno,---,Maga
85,aabdouraman,19,8/30/2016 15:39,8/30/2016 15:02,3,6,exno,---,Maga
943,aabdouraman,27,8/30/2016 16:15,8/30/2016 15:44,3,7,exno,---,Maga
1084,aabdouraman,40,8/31/2016 8:31,8/31/2016 7:28,3,8,exno,---,Maga
